
Explicit Euler method: 
k	t_k		y_k		u(t_k)		|y_k - u(t_k)|
0	0.1500000000	0.0384192914	0.0384192914	0.0000000000e+00
1	0.2500000000	0.0747023906	0.0817783707	7.0759801435e-03
2	0.3500000000	0.1222522328	0.1390082224	1.6755989615e-02
3	0.4500000000	0.1814281679	0.2094142170	2.7986049107e-02
4	0.5500000000	0.2518836502	0.2919546389	4.0070988665e-02
5	0.6500000000	0.3327763630	0.3852649524	5.2488589404e-02
6	0.7500000000	0.4228664101	0.4876859467	6.4819536614e-02
7	0.8500000000	0.5205796398	0.5972954965	7.6715856770e-02
8	0.9500000000	0.6240585452	0.7119436160	8.7885070782e-02
9	1.0500000000	0.7312087682	0.8292904243	9.8081656084e-02
10	1.1500000000	0.8397443950	0.9468465943	1.0710219929e-01

Explicit Runge-Kutta method (A_1 = 1): 
k	t_k		y_k(RK2)		u(t_k)		|y_k - u(t_k)|
0	0.1500000000	0.0384192914	0.0384192914	0.00000e+00
1	0.2500000000	0.0809046514	0.0817783707	8.73719e-04
2	0.3500000000	0.1372387248	0.1390082224	1.76950e-03
3	0.4500000000	0.2067747832	0.2094142170	2.63943e-03
4	0.5500000000	0.2884868252	0.2919546389	3.46781e-03
5	0.6500000000	0.3810164273	0.3852649524	4.24853e-03
6	0.7500000000	0.4827064239	0.4876859467	4.97952e-03
7	0.8500000000	0.5916345792	0.5972954965	5.66092e-03
8	0.9500000000	0.7056494663	0.7119436160	6.29415e-03
9	1.0500000000	0.8224088543	0.8292904243	6.88157e-03
10	1.1500000000	0.9394204032	0.9468465943	7.42619e-03

Implicit Adams method implemented with Newton's method: 
k	 t_k		 y_k(Adams)	 u(t_k)		 |y_k - u(t_k)|
0	 0.150000000	 0.038419291	 0.038419291	 0.000000000e+00
1	 0.250000000	 0.081744105	 0.081778371	 3.426573921e-05
2	 0.350000000	 0.138892520	 0.139008222	 1.157019464e-04
3	 0.450000000	 0.209167569	 0.209414217	 2.466482447e-04
4	 0.550000000	 0.291527839	 0.291954639	 4.267997297e-04
5	 0.650000000	 0.384610476	 0.385264952	 6.544767034e-04
6	 0.750000000	 0.486758849	 0.487685947	 9.270972157e-04
7	 0.850000000	 0.596054086	 0.597295497	 1.241410222e-03
8	 0.950000000	 0.710349978	 0.711943616	 1.593637707e-03
9	 1.050000000	 0.827310847	 0.829290424	 1.979577312e-03
10	 1.150000000	 0.944451908	 0.946846594	 2.394686484e-03
